,tweet,directed,original_score,dt2_pred,roberta_pred,final_roberta_pred
1340,Brilliant...i hope they have plenty of iPads...RT @mention Apple to Open Pop-Up Shop at SXSW [REPORT] - {link} #sxsw,iPad,2.0,1,2,2
1149,I think I'm the only one @mention #SxSW with an iPhone 3,,1.0,1,2,2
359,Signs you're on a plane to #sxsw ? Two iPhone users have Arcade Fire rings. #letsdothis,,1.0,1,1,1
999,omarg: It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch... {link},,1.0,1,2,2
779,@mention ‰ЫП@mention Does the pop up Apple store in Austin still have iPad2 in stock? #lazyweb #SXSW‰Ыќ,,1.0,1,1,1
947,@mention еИ RT UberSoc: New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW (cont) {link},,1.0,1,2,2
1059,me too :-) RT @mention Look everyone! Zomg @mention got an iPad 2 on the first day! #sxsw {link},iPad,2.0,1,2,2
965,@mention @mention @mention This is the press release for the iPad apps I am helping launch at #SXSW {link} #sxswi,,1.0,1,1,1
1073,All this @mention #sxsw buzz makes me wish I had an Android or I-Phone.  #beforetwitter I wouldn't have had such envy.,iPhone,2.0,1,1,1
171,@mention @mention $ #tweethouse #ipad #sxsw #dotco,,1.0,1,1,1
50,"Cool! RT @mention Apple has opened a makeshift store for #sxsw, iPad2 will be available at 5pm today... #tempted",,1.0,2,2,2
395,Ran into @mention at the temporary Apple Store with @mention @mention and Amy #sxsw,,1.0,1,1,1
513,"Yeah! RT @mention Details for the iPad 2 giveaway coming tonight, RT this! #SXSW #sxswi",iPad,2.0,1,2,2
1249,"Yay! RT ‰ЫП@mention Flipboard's next platform will be the iPhone, CEO @mention says #sxsw‰Ыќ",iPhone,2.0,1,2,2
106,Nice! RT @mention Getting ready for my iPad 2 vs Android panel at #SXSW come check it out at 230!,,1.0,2,2,2
926,Cool! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,2.0,2,2,2
860,"Nice. RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,2.0,2,2,2
403,Woo hoo! @mention is finally back on the iPhone. {link} #sxsw #il,iPhone,2.0,1,2,2
850,Download @mention new Austin iPhone app for free during SXSW {link} (thanks for the tip @mention #sxsw,,1.0,1,2,2
855,"Hoot! RT @mention New Blog post: HootSuite Mobile for #SXSW ~ Updates for iPhone, B...",,1.0,1,1,1
620,Yeay! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Masha {link},iPad or iPhone App,2.0,1,2,2
1286,Want! RT @mention Radioshack giving away portable iPhone and laptop chargers on 1st floor of acc. #sxsw,,1.0,1,2,2
1262,"I want a @mention SO bad for #sxsw, would make our live blogging from the iPad so much more efficient. Beautiful case!! Beats my leather 1",iPad,2.0,1,2,2
831,Woot! RT @mention So @mention just spilled the beans: next platform for Flipboard is the iPhone. Team started working on it. #sxflip #SXSW,iPhone,2.0,1,2,2
205,Now *that* is customer service ‰ЫУ &quot;Apple opens temporary store near #SXSW&quot; {link},Apple,2.0,1,2,1
270,"Dealing w/ @mention white freeze screen far too much, while at #SXSW everyone has an iPhone...making conversion a possibility #Efficient",iPhone,2.0,1,2,2
179,"@mention #iPad Lounge at @mention - Free daily for #sxsw - free coffee, #iPad #Art. Recharge. Austin Details {link}",,1.0,1,2,2
822,#pubcamp #kirkus #sxsw   download Qrank on your ipad/iphone before you come to pubcamp sxsw 2011 - prizes!,iPad or iPhone App,2.0,1,1,1
263,#sxswnui #sxsw #apple defining language of touch with different dialects becoming smaller,,1.0,1,1,1
178,#sxswnui #sxsw #xwave control #iPhone with your brain,,1.0,1,1,1
1052,In Apple #SXSW line for iPad 2. Staff just cleared us as good to go for 32g. Only 16gb white and 64g At&amp;t black out of stock.,,1.0,1,2,2
628,Any nice #sxsw people want to suggest where I can get a pre-paid microsim for iPad in downtown Austin?,,1.0,2,2,2
1185,Starting #sxsw session &quot;Steve Jobs and the Rise of the Techno Priests&quot; #apple,,1.0,1,2,2
95,"I am not #SXSW worthy since I don't know what UX is. RT @mention 
So, @mention product on the iPhone. Period. The UX is...",,1.0,1,0,0
546,"#tech At #SXSW, #Apple schools the marketing experts {link} #technology",,1.0,1,2,2
878,"#tech At #SXSW, #Apple schools the marketing experts: Thousands are in town to demonstrate their social... {link} #technology",,1.0,1,2,2
1217,"#tech At #SXSW, Apple schools the marketing experts {link}",Apple,2.0,1,2,1
379,Free for #SXSW: fluffertraX Radio #iPhone app--{link},,2.0,1,1,1
494,Going to #SXSW? The new iPhone guide to #Austin by @mention is free March 9-15. Hard to beat free. #lp,iPad or iPhone App,2.0,1,2,2
830,At #sxsw #tapworthy iPad Design Headaches - avoiding the pitfalls of the new design challenges,iPad,0.0,1,2,2
642,@mention #webmobile talking about #mVideo. Talked about iPhone and Android video but what about the other 85% of phones? #SXSW,,1.0,1,1,1
426,"I'll pay $900 for a new iPad 2, white, 32 GB, 3G in the next 20 hours. {link} #willpay #sxsw #zaarly",iPad,2.0,1,1,1
394,#SXSW 2011: Novelty of #iPad news apps fades fast among digital delegates {link},,1.0,0,1,1
548,#SXSW 2011: Novelty of iPad news apps fades fast among digital delegates {link},iPad,0.0,0,1,1
663,The iPad 2 launch is really at *South By* in Austin?  That is so inde.    ‰ЫУ  #sxsw #mac #ipad @mention,iPad,2.0,1,2,2
262,The iPad 2 Takes Over #SXSW [VIDEO]: {link},iPad,2.0,1,1,1
857,The iPad 2 Takes Over #SXSW [VIDEO]: {link} via Mashable,iPad,2.0,1,1,1
176,The iPad 2 Takes Over SXSW [VIDEO] {link} #apple #iPad #SXSW,iPad,2.0,1,2,2
766,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight {link} #SXSW #KeepAustinWeird,,2.0,1,2,2
385,I'd say 75% of booths at this tradeshow are waffling off an iPad 2. About the same portion have reps dressed up as crazy characters. #SxSW,,1.0,1,1,1
111,"$15k for a &quot;high-quality PDF&quot; iPad app is a good investment for small mags, says Chris Tomlinson, formerly Texas Obs (now AP) #sxsw",iPad or iPhone App,2.0,1,2,2
762,Just got a free iPhone-charger from Alex on the #Powermatteam. Wow. Makes life at #SXSW so much easier! Thanks!  {link},iPhone,2.0,1,2,2
949,there is a line in front of the &quot;secret&quot; apple ipad store on congress ave but it's not very long. the line at sbux is longer. #sxsw,,1.0,1,1,1
42,Just got a new #iPad case from @mention #SXSW - check out the female alien {link},,1.0,1,1,1
898,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},,1.0,1,2,2
763,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch: It'... {link},Apple,2.0,1,2,2
1107,Not just a rumor: the pop-up Apple Store at #SXSW exists...and they're still selling iPads.  {link},,1.0,1,2,2
301,Watching a talk by the guy who hired Jony Ive into Apple. #SXSW #industrialdesign,,1.0,1,2,2
199,There is a tech bro posed as a homeless person outside the apple pop up with a sign asking for $$$ for an iPad #SXSW,iPad,2.0,1,1,1
1307,saw #Hashable pushed out an update to its iPhone app - looks ready to use as the paperless biz card solution for  #SXSW,iPad or iPhone App,2.0,1,2,2
935,"Quick, enable the bubble barriers over #PAXEast, #SXSW and all Apple stores. Protect your new #nerdking.",,1.0,1,2,2
190,@mention about to talk at #sxsw on mistakes building #Netflix #iphone app,,0.0,1,1,1
1111,"Learning about using HTML5 across multiple devices by looking at freebeernear.me on the Web, Android, OSX and iPhone #hack5 #sxsw #donline",,1.0,1,2,2
364,Has an iPad 2 !!! Wohooo! Tnx Apple for the popup shop at #sxsw!,iPad,2.0,1,2,2
1119,Win an iPad 2 from @mention - just submit &amp; vote up your favorite quotes from #SXSW at {link} {link},,1.0,1,2,2
158,"has an ipad 2 in his hands, and it is exquisite. #sxsw",iPad,2.0,1,2,2
210,Video: iPad 2 Line Walk: Austin Texas. Did you get one today? - #SXSW {link},,1.0,1,1,1
584,writer iPad app {link} saved my ass on flight &amp; each bigger #SXSW panel - good job @mention @mention :) {link},iPad or iPhone App,2.0,1,2,2
77,#sxsw: ipad2 is coming for you! Will you buy? RT @mention Apple to open a store near SXSW for ipad 2 release. {link},iPad,2.0,1,2,2
186,I just loaded up the GroupMe app for the iPhone. Load me up #sxsw brethren. ;) {link},,1.0,1,2,2
639,gettin ready for #sxsw  @mention Apple Store {link},,1.0,1,2,2
1323,"packing bag for #sxsw,not taking DELL laptop (sorry richard)...at the mercy of bb torch and iphone, webmail too i suppose...cheers",iPhone,2.0,1,1,1
570,It's not all Apple love here at #sxsw. Heard quite a bit of grumbling about holding back features on iPad 1 so people would have to buy v2.,Apple,0.0,0,1,1
1101,Server Challenge is a huge hit at #sxsw! Come by booth 400 to try your hand. Win an iPhone 4 bottle opener case by beating 2 mins.,,1.0,1,2,2
89,#virtualwallet #sxsw #paypal we get physical goods cut #apple gets their 30% on software and virtual goods,,1.0,1,1,2
1339,#virtualwallet #sxsw no NFC in #iphone5 bc of standardization while #android will have it #confusion,iPhone,0.0,1,1,1
781,Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free,iPad or iPhone App,2.0,2,2,2
864,Just won an iPad 2 at #sxsw thanks to @mention #fxsw,iPad,2.0,1,2,2
1164,@mention An iPad is cheaper than most laptops. #newsapps #sxsw,iPad,2.0,1,2,2
62,Is there an iPhone app that people use for #SXSW scheduling? This @mention is awesome but there isn't an app! #flummoxed,iPad or iPhone App,2.0,2,2,2
505,At #SXSW and having 10 times better luck with my Verizon air card than my AT&amp;T iPhone.,,1.0,1,2,2
821,"iPad2 vs Android vs the World. With a title like this, I have a near hockey-fan esque desire for a fight to break out. #gsdm #sxsw #platform",,1.0,1,2,2
710,"Awesome hands on review of the iPad 2 coming tomorrow on @mention , guest post by @mention - he's at #SXSW",iPad,2.0,2,2,2
742,Woke up sandwiched between my iPhone and iPad. I forgot how much #SXSW was like geek spring break,,1.0,1,2,2
891,"Paywall panel: Daniel Bernard WSJ:
In app (game) purchases are frictionless like apple. &quot;the new free&quot; #sxsw",,1.0,1,2,2
251,lonely planet austin guide on the iphone free download for a limited period {link} #sxsw,,1.0,1,1,1
724,Lonely Planet's free guide to Austin: {link} iPhone #sxsw,,1.0,1,1,1
944,Has spontaniety in life been replaced by technology? When your iPhone battery dies you go home. Great ? At #busy #sxsw,iPhone,1.0,2,0,0
572,The day Bank of America launched their iPhone app they got 250k new customers #bankinnovation #SXSW,iPad or iPhone App,2.0,1,2,2
59,"Is there any way of deleting an app that won't stop loading on the iPhone? Draining my power, but no 'x' to cancel. Help me, #SXSW.",iPad or iPhone App,0.0,1,0,0
71,#sxsw #evaporation @mention @mention Business model is the platform; iPhone app makes tools available to developers,iPad or iPhone App,2.0,1,2,2
185,A major #Apple iOS update the day before #SXSW? What genius project manager came up with that brilliant idea? #NoWhammies,Apple,0.0,1,2,2
126,"At SXSW, Apple schools the marketing experts {link}  #SXSW",Apple,2.0,1,2,1
761,"At SXSW, Apple schools the marketing experts {link} #Apple #JobsCo #SXSW",Apple,2.0,1,2,2
1312,"At SXSW, Apple schools the marketing experts: {link} via @mention #sxsw #apple #marketing",Apple,2.0,1,2,2
384,clever - Apple set to open popup shop in core of #SXSW action {link},Apple,2.0,1,1,1
1069,@mention Apple to open a pop-up store downtown Austin (6th &amp; congress) for #SXSW and the iPad 2 launch,,1.0,1,2,2
84,New iPad Apps for Speech Therapy and Communication Are Showcased at #SXSW | @mention {link},,1.0,1,1,1
881,The line around the Austin Apple pop-up store? Unbelievable. #SXSW #technology #junkies,,1.0,1,2,2
20,"Like you asserted, corporate is the new indie. RT @mention Well damn, Apple setting up a &quot;pop-up&quot; shop at #SXSW {link}",,1.0,1,1,1
1194,@mention at #SXSW also known as hershel by my iPhone autocorrect. {link},,1.0,1,1,1
45,"@mention at #SXSW, 9 out of 10 attendees have MAC or iPad.",iPad,2.0,1,2,1
159,@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; /via @mention,Apple,2.0,2,2,2
148,A free heat map app of 4sq check-ins at #SXSW see @mention Hot Spots @mention SXSW. Now on WP7 &amp; iPhone #wedig,,1.0,1,1,1
345,"The line at the #sxsw Apple Popup Store was shorter than the line at the Starbucks across the street. So, I really had no choice‰Ы_",,1.0,1,2,1
1038,"The line at the apple store goes around the block. Oh, that's right, iPad 2! Also, #sxsw.",iPad,2.0,1,2,2
1324,bout to watch the @mention live at #SXSW Apple Store for iPad 2 w/ @mention and @mention Living vicariously through all those that buy one.,iPad,2.0,1,2,2
244,#iPhone battery doesn't last long under #sxsw usage,iPhone,0.0,1,1,1
685,"No way! #atx #sxsw RT @mention Just found out the Apple pop-up store is scheduled to close on Sunday, let's hope it is only a rumor!",,1.0,1,2,2
435,Austinjs autocorrects to Sisyphus on the iPhone. Just sayin'. #sxsw,iPhone,1.0,1,1,1
1352,&quot;I have my iPhone and @mention - Paul Reubens #sxsw,,1.0,1,1,2
346,Think I saw @mention or a lookalike in line for iPad 2 @mention Apple pop-up shop at #SXSW. He's got an awesome (&amp; very profitable) YouTube channel,,1.0,2,2,2
461,Win this awesome iPad from QuiBids and custom @mention case if we catch you at #SXSW wearing an openbeta VIP badge!,iPad,2.0,2,2,2
1060,#sxsw today = @mention &amp; his iphone game and @mention &amp; @mention More and more a celeb/brand destination. #marketing,,1.0,1,2,2
611,Giving away an iPad 2 at this panel. Wish me luck! #sxsw,iPad,2.0,1,2,2
221,Giving away an iPad to sharers who invite the most friends to join AOS this #SXSW @mention The Ginger Man {link},iPad,2.0,1,2,2
1347,"Giving away Apple gift cards in exchange 4 serious style. Find us on 6th or by the conv cntr. U look hot, we'll do the rest. #SXSW fashion",Apple,2.0,1,2,2
340,"Have to say, when I heard &quot;pop up Apple store&quot; I pictured something more along the lines of a inflatable bouncy castle. #SXSW",,1.0,1,2,2
669,really amazing to see so many people putting up with Apple's Notes app on the iPad at #SXSW,iPad or iPhone App,0.0,1,2,2
640,(-: Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link} {link},,1.0,1,1,1
647,@mention blogging from your iPad notes the next step. Hope you are having a great time. #SXSW,iPad,2.0,2,2,2
524,"Post-Facebook Deal, #Beluga Gets A Final #SXSW Tune-Up {link} #tc #facebook #iphone",,1.0,1,1,1
656,#iPad2 Unboxing Outside the #SXSW #Apple Store {link},,1.0,1,1,1
204,#redbull bpm DJ iPad app is powering this party. #sxsw #DTas   @mention Republic Live {link},iPad or iPhone App,2.0,1,2,2
883,Should I bring my iPad and MacBook Air OR just my Air on the #startupbus to #sxsw? #NYC,,1.0,1,1,1
220,#inspiredbyprint #sxsw Oh burn. Comparing iPad's skeumorpism to magic cap and Bob.,,1.0,1,1,1
107,#sxsw #enchantment: @mention &quot;No one uses Windows voluntarily.&quot; &quot;Apple is greatest collection of egomaniacs in history.&quot; haha,Apple,0.0,2,2,2
347,@mention check out @mention awesome dj skills on the iPad while u are at #SXSW,iPad,2.0,2,2,2
1021,@mention Check the latest stream at Apple's store at #SXSW {link} . ipad2 here I come. #PLAYSXSW,iPad,2.0,1,2,2
146,@mention check the photo feed from Apple store #SXSW  {link} thanks to @mention @mention @mention.,,1.0,1,2,2
1232,"Just launched the pop-up Apple Store at #SXSW. It's our &quot;vintage&quot; store format: Mostly iPods and snarky employees. Ah, the good old days.",Apple,0.0,1,2,2
1310,"Anna's Social Media Picks of the Week (03/11/11) {link} covering social media and Japan, The iPad 2, #SXSW and more...",,1.0,1,1,1
1271,It's official: everyone at #sxsw uses an iphone.,,1.0,1,1,1
490,Pretty excited for @mention iPad session #uxdes #sxsw,iPad,2.0,1,2,2
1116,"SXSW ‰ЫТ Rackspace Startup Program, Cloud 2.0 iPad App Launched {link} #Rackspace #sxsw #Top_News",,1.0,1,1,1
1117,"This is ackward. Sitting in the back of Ballroom F at the ACC, looking to my left and right: I'm the only non-Macbook / iPad here. Oh. #sxsw",,1.0,1,1,1
466,Theres a class war forming here at #sxsw. iPad 2 owners vs. first gen owners.,,1.0,1,1,1
1151,@mention come by tomorrow to get your iPhone case! #zazzlesxsw #Sxsw #Zazzle #sxswi {link},,1.0,1,1,1
976,My first computer as a kid was an Atari 800; my kids first computer will be an iPad.  What will they be able to do that I couldn't? #sxsw,iPad,2.0,1,1,1
1144,At #SXSW conf and EVERYONE has a Mac or Ipad (including me). What happened to the PC? Is it becoming obsolete?,iPad,2.0,1,1,1
769,Apple on Congress. Nice. RT @mention Apple set to open popup shop in core of SXSW action {link} #SXSW #Apple,,1.0,2,2,2
1190,"@mention Cool! That means we can watch Ustream in Skyfire browser on iPhone :-)
(Safari doesn't work) 
Have fun!  #sxsw",iPhone,2.0,2,2,2
530,It's the couple from that Evo vs. iPhone video! #sxsw {link},,1.0,1,2,2
1083,Sosososo cuteeeeee {link} #thingsthatdontgotogether Jalen Rose #sxsw iPad,,1.0,1,2,2
982,Unimitated - Fingerprint Security Scan - {link} #iTunes #ipad2 #1990style #SXSW,iPad,2.0,1,1,1
1261,"#flipboard - when bldg app for AppStore, need wholistic mktg awareness, p.r. strategy to drive adoption Don't just rely on Apple. #rji #sxsw",,0.0,1,1,1
360,"&quot;iPad Design Headaches (2 Tablets, Call in the Morning)&quot; at #SXSW is packed!",,1.0,1,2,2
427,SXSW Crowd Earns $10K for Charity by Playing a Game [PICS]: In an unusual keynote speech... {link} #News #sxsw #Cyber #iPhone,,1.0,1,2,2
590,"Sam licked it, so it's his! RT: @mention How I got an iPad 2 during #SXSW! {link} cc @mention",iPad,2.0,1,2,2
405,"Best Brand Marketing at #SXSW: GE @mention solar powered carousel, @mention Rock 'n Roll Trailer Park, Apple's iPad2 pop-up shop",,1.0,1,2,2
1197,Almost had the worst #sxsw FAIL... Left my iPhone on the kitchen counter. Realized it after 5 min of driving to the airport...,,1.0,1,0,0
553,Don't need to charge at #sxsw if you're talking in the sun with your iphone: {link} boom!,iPhone,1.0,1,2,2
678,{link} Did you hear? Apple‰ЫЄs opening a temporary store just for #SXSW! (via @mention,Apple,2.0,1,2,2
1349,"Stay tuned, @mention up next on the emergency iPad station at #sxsw, facebook bullying and online privacy: {link}",,1.0,1,1,1
137,Why should/shouldn't I get an iPad 2? Discuss :-) #SXSW,,1.0,1,1,1
337,The MoST Dangerous ipad in my life.. {link} Jaqueline Bojan #sxsw,,1.0,1,1,1
971,iPad 2 Update: ONLINE sales start at 12:01am PST | 3am EST on 3/11/11 | 2-day Free Shipping |FYI: #SXSW - Popup store downtown Austin #apple,,1.0,1,1,1
687,dumb blonde {link} Evelyn #sxsw Juwan Howard iPad,,1.0,1,1,1
1105,Dudes! Dudes! Check it out: Tweet anything w/ 'iPad' in it &amp; naked lady response bots will tell you how they 'simply gaimed one free' #sxsw,,1.0,1,1,1
8,The iPad design panel in Hilton Salon J is filling up quickly. No surprises there. #tapworthy #sxsw it's more fun with the iPad2,iPad,2.0,1,2,2
495,@mention Did you find out the hours of the apple store? I'm curious too... #sxsw,,1.0,1,1,1
879,is a bit disappointed that the two iPad talks had so many overlapping examples #sxsw,Apple,0.0,1,0,0
758,"Fest tip-don't be an iPhone douche.Put away your phone and talk to your fellow festgoers in lines, etc.All good people who love film. #sxsw",iPhone,0.0,0,2,2
918,Apple is driving the &quot;consumerization&quot; of IT.  #empowered  #SXSW,Apple,2.0,1,2,2
1079,at the Android party and kinda embarrassed by my iPhone #SXSW,iPhone,0.0,1,0,1
1061,"For friends at #SXSWi - New Blog post: HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",,1.0,1,1,1
1092,"Apple heads to SXSW, sets up temporary store in Austin {link} #Apple #iPad2 #RanceWilemon #SXSW #WhetherApple",,1.0,1,2,2
868,Can anybody tell me if Apple store at #SXSW has White 16GB iPad Verizon in stock?  They were out on Saturday.,,1.0,1,1,1
432,"Only white #ipad2 64gig wifi available at #Austin #SXSW #Apple popup store right now, but no wait!",,2.0,1,2,2
1071,sure to be a total scene! RT @mention Just spoke with the Austin Apple store. They are cautiously optimistic. #nerd #sxsw,Apple,2.0,1,2,2
482,"One minute ago, the guy I spoke outside Apple's pop-up Austin store would have got his hands on an iPad 2. He waited since 6.30am... #sxsw",,1.0,1,1,1
124,"HBD! If we all donated a dime... RT @mention everyone coming to #SXSW, a friendly reminder that iPad 2 out Friday &amp; my birthday is Saturday",,1.0,1,2,2
380,Looks like all the apps for #SXSW are for the #iPhone. What about the #blackberry? The blackberry??? {link} (rt @mention,iPhone,2.0,1,2,2
1046,Liking the Apple pop-up store at Sixth Street and Congress Avenue @mention #SXSW,Apple,2.0,1,2,2
327,Fail Whale artist @mention living through the iPad 2 #sxsw {link},iPad,2.0,1,1,1
99,Short line at the Apple pop up store in Austin. 50-60 people. #ipad2  #sxsw {link},Apple,2.0,1,2,2
707,I'm at the Barton Creek Apple Store.The pop-up store will how open until Friday w/a new shipment of iPad 2. #sxsw,,1.0,1,2,2
784,The iPhone battery was not made for @mention #sxsw,iPhone,0.0,1,0,0
267,"Smartphone breakdown at #sxsw (unofficial) - 98.5% iPhones, 1% Android, .03% Blackberry, .02% Symbian / Windows / Other",,1.0,1,1,1
411,Yes! apple design wins again! RT @mention The new iSack is SOO Cool! #sxsw  {link},Apple,2.0,2,2,2
1154,This Apple Fanboy just bought an iPad 2 - sweeeet! At #SXSW special Apple pop-up store,iPad,2.0,1,2,2
1264,"If you are going to #SXSW, you'll need a QR Code app on your #iPhone that can read #vCards. Get Qrafter -&gt; {link} #QRCode",,1.0,1,1,1
729,Here's the guy who bought the first #iPad2 at the #SXSW popup store (hope he registers for his Thoora beta!) {link},iPad,2.0,1,1,1
309,Looks like I was an hour late for getting an ipad. #SXSW #sadpanda,iPad,1.0,1,0,0
825,Sorry some in Austin are taking advantage. ‰ЫП@mention @mention we paid $30 to the apple popup from the pepsi stand‰Ыќ #SXSW #pedicabs,,1.0,1,0,1
125,So far the longest line at #sxsw has been at the Apple store.,,1.0,1,1,2
900,OMG. Table next to us is passing around the iPad 2. #hipstermuch #SXSW,iPad,2.0,1,2,1
1257,tim get me one!  RT @mention Apple employees just showed up in force to the #SXSW PopUp Apple Store. #iPad2,iPad,2.0,1,2,2
764,Every game or app ad in the #SXSW Interactive guide shows either an iPhone or iPad. AT&amp;T &amp; SXSW's two promos show WP7 &amp; Android.,,1.0,1,1,1
314,Looks like pop up Apple store is opening...apple store employees emerging into the queue #sxsw,,1.0,1,2,2
697,Did anyone see/visit  the temporary Apple Store at #SXSW ?,,2.0,1,1,1
1336,Has anyone seen the pop up stores in Austin like CNN restaurant and Apple plus all the food trucks? #sxsw #apple,,1.0,1,2,2
1267,Temp Apple Store 6th St  Austin #sxsw closed for night &quot;they're out of stuff' says Austin cops barring the door!,,1.0,1,0,1
472,Temp Apple store is killing it in Austin. Selling out early EVERY day. #sxsw,Apple,2.0,1,2,2
680,"I may have to hide all #SXSW tweets. I think the Apple pop-up store was the final straw. Yes, I'm jealous.",Apple,2.0,1,0,0
1104,Great! See u there  RT @mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game. #SXSW,iPad or iPhone App,2.0,2,2,2
29,All iphone users kill yo self if u hated on ubertwitter New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW,iPad or iPhone App,2.0,1,1,1
266,"Hey iPhone users: if you have both Instagram and Hipstamatic, which do you enjoy using more? #SXSW week is sure making things interesting.",,1.0,1,2,2
1278,"So strange, mixed tweets of #ipad spammers, #sxsw, and regular life together w/Pacific Rim rocking near nuclear disaster. Does not compute",,1.0,1,0,0
1178,"New iPhone, new iPad 2, and they come running as fast as they can, cuz every girl crazy about a sharp Mac man... *strums guitar*  #SXSW",iPhone,2.0,1,2,2
417,Hey People! Down here at #sxsw and we are about to launch @mention  Follow for all the details and a chance for a free iPad 2 !,iPad,2.0,1,2,2
1157,"Yes, there's a line in front of the all-but-confirmed pop-up Apple Store at #SXSW. {link} /via @mention",,1.0,1,2,2
1263,Genius idea RT @mention Apple Popup Store at #SXSW {link},Apple,2.0,1,2,2
180,Getting ready for Designing iPad Interfaces #SXSW (@mention ACC - Ballroom A w/ 39 others) [pic]: {link},,1.0,1,1,1
1337,"...This really puts the whole #iPad release, and #sxsw in perspective, doesn't it?",,1.0,1,1,1
798,I am so jealous of @mention because she's at #SxSW that I am not sending her tweets to my iPhone until it's over. #bitter,,1.0,1,0,0
383,"#Apple steals the show (again), with pop-up #marketing at #SXSW--&gt; {link}",Apple,2.0,1,2,2
280,Met the team that set up the #sxsw Apple store - set up whole place from nothing in 3 days. Great work!,Apple,2.0,2,2,2
711,Nice to hear that mint.com is working on an iPad app! #FTW #SXSWi #SXSW,iPad or iPhone App,2.0,1,2,2
91,Another reason to go to Austin: #Apple to open a #SXSW popup store {link},Apple,2.0,1,2,2
1065,Off to check out the not-so-secret popup Apple store for tomorrow's iPad2 release in Austin. Somebody RE w/ the address... #sxsw,,1.0,1,2,2
1207,Why the heck would anyone want Mozilla to switch to CrapKit (WebKit) when Gecko is good? Stupid Apple/Google bandwaggoners. #sxsw,Apple,0.0,1,0,0
705,just walked by the line for the iPad 2. Bahahahaha! at least 5 blocks long. #fail #SXSW,iPad,0.0,1,0,0
1019,I connected my bluetooth keyboard to my iPhone! Hello fast blogging while I'm at #SXSW,iPhone,2.0,1,2,2
352,"Just talked to Mike Tyson #SXSW about his new iPhone game, which lets you fight Pauly D and other celebs. More soon {link}",,1.0,1,1,1
535,Just picked up @mention book: Killer Photoes with your IPhone! #SXSW #sxswchi  {link},iPhone,2.0,1,2,2
1313,Just picked up white iPad 2 Pop up Apple Store #SXSW,,1.0,1,2,2
1007,Airport delay to #sxsw. Just introduced @mention to #CatPhysics. I feel like a drug pusher: First ipad play is free but after that...,iPad,2.0,1,1,1
261,How the hell am I supposed to get the new IPad when I am stumbling around Austin during #SXSW #notwinning,,1.0,1,0,0
990,I'm insanely jealous of everyone with an iPad here at #SXSW. Seems like a great way to interact with the panels. ... next year?? :P,iPad,2.0,2,2,2
510,[#SXSW] Temporary apple store is just like a real store... by zbowling {link},,1.0,1,1,1
484,Apple's temporary megastore at #SXSW could be model for future conferences/events: {link},Apple,2.0,1,2,2
234,Pretty even split between Android and iPhone at #sxsw this year.,,1.0,2,2,2
1245,#SXSW attendees - need one of the best QR scanner/creators on your iPhone? Send us a pic of a QR code you found for a free copy of Optiscan,,2.0,1,2,2
506,#sxsw attendees trade &quot;happy hour&quot; for appy hours waiting on line for iPad2 (video)- {link} Sheer madness or love?,,1.0,2,1,1
722,#Apple Opening Pop-Up Store in Austin for #SXSW Geekfest [Apple] {link} #applesxsw #southbysouthwest,,1.0,1,2,2
208,#Apple Opening Temporary #iPad2 Store to Handle #SXSW Demand {link},,1.0,1,1,1
1066,#Apple opening up a pop up shop in #Austin during #SXSW!? Man they are everywhere!,Apple,2.0,1,2,2
520,;-) RT @mention @mention The geeks need somewhere downtown to line up to get the iPad 2. I'll be dropping by. #SXSW,iPad,2.0,1,2,2
44,Lol RT @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;,Apple,2.0,2,2,2
937,"cool} ‰ЫП@mention Hoot! HootSuite #Mobile for #SXSW ~ Updates for #iPhone, #BlackBerry #Android {link}",,1.0,2,2,2
182,"YES RT @mention LoL U r gadgetzilla! Have fun! @mention It's #SXSW Festival time. OMG I'm scared! Got my netbook, #iPad &amp; my droid!",iPad,2.0,1,2,2
1238,Pop up @mention store in Austin.   Brilliant. Long lines even at 9:30 at night #SXSW  {link},Apple,2.0,2,2,2
885,Inline @mention the Apple popup waiting for iPad2 action #sxsw,,1.0,1,2,1
